stiffness,frequency
24.0,5.384538720344593
24.0,5.557390976613359
24.0,5.491774867233805
24.0,5.4517742299494945
24.0,5.318982276823115
24.0,5.318975040791245
24.0,5.289601768340844
24.0,5.532029528422864
24.0,5.452511188213347
24.0,5.484598458029198
24.0,5.278352032979124
24.0,5.563149640338982
24.0,5.52190947693051
24.0,5.335878417893866
24.0,5.326724174852514
24.0,5.327198037646414
24.0,5.363449357578245
24.0,5.429603614180055
24.0,5.401760190283019
24.0,5.359545426749796
24.0,5.455732553107097
24.0,5.314024842885996
24.0,5.359820079250949
24.0,5.382085237678491
24.0,5.408997679955495
24.0,5.507729473108288
24.0,5.332078819337892
24.0,5.426447016214468
24.0,5.449901055348996
24.0,5.286111808506383
40.0,7.0322634555704315
40.0,6.901157237106188
40.0,6.869515477895584
40.0,7.134665661176
40.0,7.1396896099223675
40.0,7.0925192044349386
40.0,6.941384130752011
40.0,6.879301634201915
40.0,7.055269907953647
40.0,6.98204574812188
40.0,6.886611470453434
40.0,6.998553073033381
40.0,6.860316556334565
40.0,7.122796120623635
40.0,6.927633994480005
40.0,7.048756685306195
40.0,6.943513322826823
40.0,7.006020406353343
40.0,7.0140130838029835
40.0,6.905456336657658
40.0,7.140875388329367
40.0,7.082539847008334
40.0,7.131849682469257
40.0,7.118448205128295
40.0,7.029369993643326
40.0,7.126562270506935
40.0,6.876547750615575
40.0,6.908794858725743
40.0,6.863568186673161
40.0,6.947599099228979
56.0,8.249114883246307
56.0,8.21391640587163
56.0,8.38113294908504
56.0,8.239537694347538
56.0,8.216792049245676
56.0,8.295320521286937
56.0,8.17478896383189
56.0,8.373170790565673
56.0,8.154876889443393
56.0,8.428577777319617
56.0,8.36418512712846
56.0,8.192126400799713
56.0,8.134168331476543
56.0,8.377150124875913
56.0,8.344568899493748
56.0,8.351213846751758
56.0,8.363892800345246
56.0,8.154725091859689
56.0,8.240051414902744
56.0,8.167272414197
56.0,8.39144272410214
56.0,8.31950113438773
56.0,8.231781103795257
56.0,8.15157920142527
56.0,8.22580639285416
56.0,8.230066692947487
56.0,8.351393549840882
56.0,8.323778937746026
56.0,8.39867551911236
56.0,8.274176173888048
